Sku,Delivery_time,Product_id,category,level,url,brand,title,Variant,source_url,desc1,um,region_name,price1,Saller,price,desc
BSUPCSBRAMCO6,,148,solid blocks,,http://www.materialtree.com/6-in-ram-co-concrete-solid-blocks,Ram Co,6 In.Ram Co Concrete Solid Blocks,,, Thickness   6 Inches  Brand / Manufacturer   Ram Co  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   500 Blocks  Size   6 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',32 ,Ram Co Concrete Solid Blocks 6 In.'
BSUPAPCOB4,,3186,solid blocks,,http://www.materialtree.com/4-in-apco-concrete-solid-blocks,APCO,4 In. APCO Concrete Solid Blocks,,, Thickness   4 Inches  Brand / Manufacturer   APCO  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   800 Blocks  Size   4 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',37 ,4 In. APCO Concrete Solid Blocks'
BSUPGCSB6,,160,solid blocks,,http://www.materialtree.com/6-in-ganesh-concrete-solid-blocks,Ganesh,6 In. Ganesh Concrete Solid Blocks,,, Thickness   6 Inches  Brand / Manufacturer   Ganesh  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   500 Blocks  Size   6 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',36.5 ,6 In. Ganesh Concrete Solid Blocks'
BSUPPRAGATHIAMTB6,,3250,solid blocks,,http://www.materialtree.com/6-in-pragathi-auomated-concrete-solid-blocks,Pragathi,6 In. Pragathi Auomated Concrete Solid Blocks,,, Thickness   6 Inches  Brand / Manufacturer   Pragathi  Unit   Block  Standard Code   IS 2185  Color   N/A  Shape   N/A  Minimum Order Quantity   550 Blocks  Size   N/A  Delivery Time (Days)   N/A  Shipping   No ', Per Block,,,BuildSupplies',38 ,6 In. Pragathi Auomated Concrete Solid Blocks'
BSUPCHE43,,14,grade cement,,http://www.materialtree.com/chettinad-opc-43-grade-cement,Chettinad,Chettinad OPC 43 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Chettinad OPC 43 Cement  Class / Grade   43 OPC Grade  Standard Code   IS 8112 (1989)  Color   Grey  Brand / Manufacturer   Chettinad ', Per Bag,,,BuildSupplies',361 ,"Our Gray Ordinary Portland Cement is a high-quality, cost-effective building material mainly composed of clinker that meets all applicable chemical and physical requirements and is widely used in all construction segments: residential, commercial, industrial, and public infrastructure. Chettinad cement is the result of careful effort in the research and development of our cement engineers and scientists. It is specially blended with good quality control monitoring systems, high quality cement engineered for use in all structural, building and particularly useful in marine and hydraulic construction.'"
BSUPCHE53,,15,grade cement,,http://www.materialtree.com/chettinad-opc-53-grade-cement,Chettinad,Chettinad OPC 53 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Chettinad OPC 53 Cement  Class / Grade   53 OPC Grade  Standard Code   IS 12269 (1987)  Color   Grey  Brand / Manufacturer   Chettinad ', Per Bag,,,BuildSupplies',363 ,"Our Gray Ordinary Portland Cement is a high-quality, cost-effective building material mainly composed of clinker that meets all applicable chemical and physical requirements and is widely used in all construction segments: residential, commercial, industrial, and public infrastructure. Chettinad cement is the result of careful effort in the research and development of our cement engineers and scientists. It is specially blended with good quality control monitoring systems, high quality cement engineered for use in all structural, building and particularly useful in marine and hydraulic construction.'"
BSUPDALPPC,,21,grade cement,,http://www.materialtree.com/dalmia-ppc-grade-cement,Dalmia Bharat,Dalmia PPC Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Dalmia PPC Cement  Class / Grade   PPC Grade  Standard Code   IS 1489-1 (1991)  Color   Grey  Brand / Manufacturer   Dalmia Bharat ', Per Bag,,,BuildSupplies',358 ,"Dalmia cement(PPC), is the example for a high quality cement. Years of experience after 1939 make Dalmia cement real pioneers in the cement industry. The high standard product which is sold in international markets in greater demand at all times.'"
BSUPCHEPPC,,16,grade cement,,http://www.materialtree.com/chettinad-ppc-grade-cement,Chettinad,Chettinad PPC Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Chettinad PPC Cement  Class / Grade   PPC Grade  Standard Code   IS 1489-1 (1991)  Color   Grey  Brand / Manufacturer   Chettinad ', Per Bag,,,BuildSupplies',359 ,"Our Gray Ordinary Portland Cement is a high-quality, cost-effective building material mainly composed of clinker that meets all applicable chemical and physical requirements and is widely used in all construction segments: residential, commercial, industrial, and public infrastructure. Chettinad cement is the result of careful effort in the research and development of our cement engineers and scientists. It is specially blended with good quality control monitoring systems, high quality cement engineered for use in all structural, building and particularly useful in marine and hydraulic construction.'"
BSUPKCPPPC,,31,pozzolana cement,,http://www.materialtree.com/kcp-portland-pozzolana-cement,KCP Cement,KCP Portland Pozzolana Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   KCP Portland Pozzolana Cement  Class / Grade   PPC Grade  Standard Code   IS 1489-1 (1991)  Color   Grey  Brand / Manufacturer   KCP Cement ', Per Bag,,,BuildSupplies',345 ,KCP Portland Pozzolana Cement'
BSUPDAL53,,20,grade cement,,http://www.materialtree.com/dalmia-53-grade-cement,Dalmia Bharat,Dalmia 53 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Dalmia 53 Cement  Class / Grade   53 OPC Grade  Standard Code   IS 12269 (1987)  Color   Grey  Brand / Manufacturer   Dalmia Bharat ', Per Bag,,,BuildSupplies',362 ,Dalmia cement(OPC-53 Grade) is well-known for its quality. It becomes a unique product from the leading cement manufacturer after 1939. Years of experience and superior in quality make Dalmia cement the best cement sought after.'
BSUPJAY53,,23,grade opc,,http://www.materialtree.com/jaypee-cement-53-grade-opc,Jaypee Cement,Jaypee Cement 53 Grade OPC,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Jaypee Cement 53 OPC  Class / Grade   53 OPC Grade  Standard Code   IS 12269 (1987)  Color   Grey  Brand / Manufacturer   Jaypee Cement ', Per Bag,,,BuildSupplies',373 ,Jaypee cement(OPC-53 Grade) is the largest cement manufacturer in India with all modernized technologies to produce a better quality cement. Jaypee cement is the favorite choice of engineers and construction companies.'
BSUPKCP53,,30,grade cement,,http://www.materialtree.com/kcp-53-grade-cement,KCP Cement,KCP 53 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   KCP 53 Cement  Class / Grade   53 OPC Grade  Standard Code   IS 12269 (1987)  Color   Grey  Brand / Manufacturer   KCP Cement ', Per Bag,,,BuildSupplies',355 ,KCP 53 Grade Cement'
BSUPRAMPPC,,47,grade cement,,http://www.materialtree.com/ramco-ppc-grade-cement,Ramco Cement,Ramco PPC Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Ramco PPC Cement  Class / Grade   PPC Grade  Standard Code   IS 1489-1 (1991)  Color   Grey  Brand / Manufacturer   Ramco Cement ', Per Bag,,,BuildSupplies',373 ,"Ramco Cement(PPC) emerges as a high quality cement. Being the fifth largest cement producer in the country and the only company to win the four leaves awards in the cement industry, it offers cement on superior quality by applying world class technology, vertical Roller Mill.'"
BSUPRAM43,,45,grade cement,,http://www.materialtree.com/ramco-43-grade-cement,Ramco Cement,Ramco 43 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Ramco 43 Cement  Class / Grade   43 OPC Grade  Standard Code   IS 8112 (1989)  Color   Grey  Brand / Manufacturer   Ramco Cement ', Per Bag,,,BuildSupplies',375 ,"Ramco Cement(OPC-43 Grade) cement assures the superior quality cement. Being the fifth largest cement producer in the country and the only company to win the four leaves awards. World class technology, Vertical Roller Mill has been used for the quality cement production.'"
BSUPRAM53,,46,grade cement,,http://www.materialtree.com/ramco-53-grade-cement,Ramco Cement,Ramco 53 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Ramco 53 Cement  Class / Grade   53 OPC Grade  Standard Code   IS 12269 (1987)  Color   Grey  Brand / Manufacturer   Ramco Cement ', Per Bag,,,BuildSupplies',377 ,"Ramco Cement(OPC-53 Grade) becomes a high performance cement. It climbs the heights by being fifth largest cement producer in the country. With world class technology, vertical Roller Mill, it assures superior quality cement with high performance.'"
BSUPZUA43,,51,grade cement,,http://www.materialtree.com/zuari-43-grade-cement,Zuari Italcementi,Zuari 43 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Zuari 43 Cement  Class / Grade   43 OPC Grade  Standard Code   IS 8112 (1989)  Color   Grey  Brand / Manufacturer   Zuari Italcementi ', Per Bag,,,BuildSupplies',380 ,"', ', ', '"
BSUPACCPPC,,4,pozzolana cement,,http://www.materialtree.com/acc-portland-pozzolana-cement,ACC Limited,ACC Portland Pozzolana Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   ACC Portland Pozzolana Cement  Class / Grade   PPC Grade  Standard Code   IS 1489-1 (1991)  Color   Grey  Brand / Manufacturer   ACC Limited ', Per Bag,,,BuildSupplies',378 ,"u""ACC PPC  is a special blended cement, produced by inter-grinding higher strength Ordinary Portland Cement clinker with high quality processed fly ash - based on norms set by the company's R&D division. This unique, value-added product has hydraulic binding properties not found in ordinary cements."""
BSUPBHA43,,5,grade cement,,http://www.materialtree.com/bharathi-43-grade-cement,Bharathi Cement,Bharathi 43 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Bharathi 43 Cement  Class / Grade   43 OPC Grade  Standard Code   IS 8112 (1989)  Color   Grey  Brand / Manufacturer   Bharathi Cement ', Per Bag,,,BuildSupplies',383 ,"', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', '"
BSUPZUAPPC,,53,grade cement,,http://www.materialtree.com/zuari-ppc-grade-cement,Zuari Italcementi,Zuari Portland Pozzolana Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Zuari Portland Pozzolana Cement  Class / Grade   PPC Grade  Standard Code   IS 1489-1 (1991)  Color   Grey  Brand / Manufacturer   Zuari Italcementi ', Per Bag,,,BuildSupplies',378 ,"', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', '"
BSUPBHA53,,6,grade cement,,http://www.materialtree.com/bharathi-53-grade-cement,Bharathi Cement,Bharathi 53 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Bharathi 53 Cement  Class / Grade   53 OPC Grade  Standard Code   IS 12269 (1987)  Color   Grey  Brand / Manufacturer   Bharathi Cement ', Per Bag,,,BuildSupplies',385 ,"', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', '"
BSUPCOR53,,18,grade cement,,http://www.materialtree.com/coromandel-53-grade-cement,Coromandel/India Cements,Coromandel 53 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Coromandel 53 Cement  Class / Grade   53 OPC Grade  Standard Code   IS 12269 (1987)  Color   Grey  Brand / Manufacturer   Coromandel/India Cements ', Per Bag,,,BuildSupplies',375 ,Coromandel King(OPC-53 Grade)is the most popular cement in all metros with its six decades of experience in the cement industry. It is known as the excellent cement with world class technology such as Vertical Roller Mill. Creating difference in the infrastructure of the country.'
BSUPCORPPC,,19,grade cement,,http://www.materialtree.com/coromandel-ppc-grade-cement,Coromandel/India Cements,Coromandel King PPC Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Coromandel King PPC Cement  Class / Grade   PPC Grade  Standard Code   IS 1489-1 (1991)  Color   Grey  Brand / Manufacturer   Coromandel/India Cements ', Per Bag,,,BuildSupplies',371 ,"u""Coromandel King PPC Grade Cement is a product from India Cements Ltd. India cements has more than 10 plants with a manufacturing capacity of 15.5 million tons. Coromandel is a brand with rationale value offering reassurance for the strength and durability of cement and provides value for money. A brand most popular in all metros. Trusted by all, it's a favourite brand of Engineers & Architects. Coramandel cement is avialable in Coromandel King 53 Grade cement and Coromandel 43 Grade cement as well"""
BSUPVBCSB8,,166,solid blocks,,http://www.materialtree.com/8-in-vb-concrete-solid-blocks,VB,8 In. VB Concrete Solid Blocks,,, Thickness   8 Inches  Brand / Manufacturer   VB  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   400 Blocks  Size   8 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',38.5 ,8 In. VB Concrete Solid Blocks'
BSUPFSBSUN6,,150,solid blocks,,http://www.materialtree.com/6-in-sunvik-flyash-solid-blocks,Sunvik,6 In. Sunvik Flyash Solid Blocks,,, Thickness   6 Inches  Brand / Manufacturer   Sunvik  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   1400 Blocks  Size   6 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',40 ,Sunvik 6 In. flyash eco friendly bricks has an average of  7 newtons per square mm.'
BSUPBCAPAMTB6,,3253,automated manufacturing,,http://www.materialtree.com/6-in-bcap-solid-blocks-automated-manufacturing,BCAP,6 In. BCAP Solid Blocks (Automated Manufacturing),,, Thickness   6 Inches  Brand / Manufacturer   BCAP  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   No  Minimum Order Quantity   550 Blocks  Size   No  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',40 ,"', ', ', ', ', ', ', ', '"
BSUPGCSB8,,165,solid blocks,,http://www.materialtree.com/8-in-ganesh-concrete-solid-blocks,Ganesh,8 In. Ganesh Concrete Solid Blocks,,, Thickness   8 Inches  Brand / Manufacturer   Ganesh  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   350 Blocks  Size   8 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',38.5 ,8 In. Ganesh Concrete Solid Blocks'
BSUPCSBSAMBICA8,,153,solid blocks,,http://www.materialtree.com/8-in-sab-concrete-solid-blocks,SAB,8 In. SAB Concrete Solid Blocks,,, Thickness   8 Inches  Brand / Manufacturer   SAB  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   370 Blocks  Size   8 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',38.5 ,8 In. SAB Concrete Solid Blocks'
BSUPPRAGATHIAMTB8,,3251,solid blocks,,http://www.materialtree.com/8-in-pragathi-auomated-concrete-solid-blocks,Pragathi,8 In. Pragathi Auomated Concrete Solid Blocks,,, Thickness   8 Inches  Brand / Manufacturer   Pragathi  Unit   Block  Standard Code   IS 2185  Color   N/A  Shape   N/A  Minimum Order Quantity   450 Blocks  Size   N/A  Delivery Time (Days)   N/A  Shipping   No ', Per Block,,,BuildSupplies',48.5 ,8 In. Pragathi Auomated Concrete Solid Blocks'
BSUPBCAPAMTB8,,3254,solid blocks,,http://www.materialtree.com/8-in-bcap-auomated-concrete-solid-blocks,BCAP,8 In. BCAP Solid Blocks (Automated Manufacturing),,, Thickness   8 Inches  Brand / Manufacturer   BCAP  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   No  Minimum Order Quantity   450 Blocks  Size   No  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',50 ,8 In. BCAP Solid Blocks (Automated Manufacturing)'
BSUPAPCOB6,,3187,solid blocks,,http://www.materialtree.com/6-in-apco-concrete-solid-blocks,APCO,6 In. APCO Concrete Solid Blocks,,, Thickness   6 Inches  Brand / Manufacturer   APCO  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   550 Blocks  Size   6 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',50 ,6 In. APCO Concrete Solid Blocks'
BSUPPRAGATHIB8,,3248,solid blocks,,http://www.materialtree.com/8-in-pragathi-concrete-solid-blocks,Pragathi,8 In. Pragathi Concrete Solid Blocks,,, Thickness   8 Inches  Brand / Manufacturer   Pragathi  Unit   Block  Standard Code   IS 2185  Color   N/A  Shape   N/A  Minimum Order Quantity   450 Blocks  Size   N/A  Delivery Time (Days)   N/A  Shipping   No ', Per Block,,,BuildSupplies',45.5 ,8 In. Pragathi Concrete Solid Blocks'
BSUPACCLWB4,,5860,concrete blocks,,http://www.materialtree.com/4-in-acc-light-weight-concrete-blocks,ACC Limited,4 In. ACC Light Weight Concrete Blocks,,, Thickness   4 Inches  Brand / Manufacturer   ACC Limited  Unit   Block  Standard Code   No  Color   Grey  Shape   Rectangle  Minimum Order Quantity   1800  Size   100 mm x 200 x 600  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',53 ,"ACC Light weight Concrete Blocks, Size: 100 mm x 200 x 600, Density:590 kg/m3, Compressive strength: 4-6 N/mm2'"
BSUPBCAPCLARB8,,3259,cellular blocks,,http://www.materialtree.com/8-in-bcap-concrete-cellular-blocks,BCAP,8 In. BCAP Concrete Cellular Blocks,,, Thickness   8 Inches  Brand / Manufacturer   BCAP  Unit   Block  Standard Code   IS 2185  Color   N/A  Shape   N/A  Minimum Order Quantity   350 Blocks  Size   N/A  Delivery Time (Days)   N/A  Shipping   No ', Per Block,,,BuildSupplies',49 ,8 In. BCAP Concrete Cellular Blocks'
BSUPZUA53,,52,grade cement,,http://www.materialtree.com/zuari-53-grade-cement,Zuari Italcementi,Zuari 53 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Zuari 53 Cement  Class / Grade   53 OPC Grade  Standard Code   IS 12269 (1987)  Color   Grey  Brand / Manufacturer   Zuari Italcementi ', Per Bag,,,BuildSupplies',380 ,"', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', '"
BSUPAPCOB8,,3188,solid blocks,,http://www.materialtree.com/8-in-apco-concrete-solid-blocks,APCO,8 In. APCO Concrete Solid Blocks,,, Thickness   8 Inches  Brand / Manufacturer   APCO  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   450 Blocks  Size   8 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',62 ,8 In. APCO Concrete Solid Blocks'
BSUPFSBSUN8,,154,solid blocks,,http://www.materialtree.com/8-in-sunvikflyash-solid-blocks,Sunvik,8 In. SunvikFlyash Solid Blocks,,, Thickness   8 Inches  Brand / Manufacturer   Sunvik  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   1300 Blocks  Size   8 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',50 ,Sunvik 8 In. flyash eco friendly bricks has an average of  7 newtons per square mm.'
BSUPACCLWBH4,,4756,concrete blocks,,http://www.materialtree.com/4-in-hcc-aac-light-weight-concrete-blocks,HCCAAC,4 In. HCC AAC Light Weight Concrete Blocks,,, Thickness   4 Inches  Brand / Manufacturer   HCCAAC  Unit   Block  Standard Code   No  Color   Grey  Shape   Rectangle  Minimum Order Quantity   1500  Size   100 mm x 200 x 600  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',58 ,"HCC AAC Light weight Concrete Blocks, Size: 100 mm x 200 x 600, Density:590 kg/m3, Compressive strength: 4-6 N/mm2'"
BSUPACCLWBSIPOREX4,,142,weight blocks,,http://www.materialtree.com/4-in-siporex-aac-light-weight-blocks,Siporex,4 In. Siporex AAC Light weight Blocks,,, Thickness   4 Inches  Brand / Manufacturer   Siporex  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   No  Minimum Order Quantity   1800 Blocks  Size   4 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',53 ,"Siporex AAC  Light weight Concrete Blocks, Weight: 8kgs, Size: 100 mm x 200 x 600, Density: 550-700 kg/m3, Compressive strength: 30 - 50 kg/cm2'"
BSUPACCLWBH5,,4757,concrete blocks,,http://www.materialtree.com/5-in-hcc-aac-light-weight-concrete-blocks,HCCAAC,5 In. HCC AAC Light Weight Concrete Blocks,,, Thickness   5 Inches  Brand / Manufacturer   HCCAAC  Unit   Block  Standard Code   No  Color   Grey  Shape   Rectangle  Minimum Order Quantity   1400  Size   125 mm x 200 x 600  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',66 ,"HCC AAC Light weight Concrete Blocks, Size: 125 mm x 200 x 600, Density: 590 kg/m3, Compressive strength: 4-6 N/mm2'"
BSUPBCAPCLARB6,,3258,cellular blocks,,http://www.materialtree.com/6-in-bcap-concrete-cellular-blocks,BCAP,6 In. BCAP Concrete Cellular Blocks,,, Thickness   6 Inches  Brand / Manufacturer   BCAP  Unit   Block  Standard Code   IS 2185  Color   N/A  Shape   N/A  Minimum Order Quantity   500 Blocks  Size   N/A  Delivery Time (Days)   N/A  Shipping   No ', Per Block,,,BuildSupplies',38 ,6 In. BCAP Concrete Cellular Blocks'
BSUPACCLWBH6,,4758,concrete blocks,,http://www.materialtree.com/6-in-hcc-aac-light-weight-concrete-blocks,HCCAAC,6 In. HCC AAC Light Weight Concrete Blocks,,, Thickness   6 Inches  Brand / Manufacturer   HCCAAC  Unit   Block  Standard Code   No  Color   Grey  Shape   Rectangle  Minimum Order Quantity   1300  Size   150 mm x 200 x 600  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',79 ,"HCC AAC Light weight Concrete Blocks, Size: 150 mm x 200 x 600, Density: 590 kg/m3, Compressive strength: 4-6 N/mm2'"
BSUPACCLWB6,,5861,concrete blocks,,http://www.materialtree.com/6-in-acc-light-weight-concrete-blocks,ACC Limited,6 In. ACC Light Weight Concrete Blocks,,, Thickness   6 Inches  Brand / Manufacturer   ACC Limited  Unit   Block  Standard Code   No  Color   Grey  Shape   Rectangle  Minimum Order Quantity   1300  Size   150 mm x 200 x 600  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',73 ,"ACC Light weight Concrete Blocks, Size: 150 mm x 200 x 600, Density: 590 kg/m3, Compressive strength: 4-6 N/mm2'"
BSUPCCI53,,3843,grade cement,,http://www.materialtree.com/cci-53-grade-cement,CCI Limited,CCI 53 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   CCI 53 Cement  Class / Grade   53 OPC Grade  Standard Code   IS 12269 (1987)  Color   Grey  Brand / Manufacturer   CCI Limited ', Per Bag,,,BuildSupplies',335 ,"CCI Cement(OPC-53 Grade) is the first cement company to get included in the list of consumer super brands of India. Defined by high quality cement and service excellence. Improved technology and research with updated quality becomes the trademark of CCI Cement. CCI 53 Grade OPC provides high strength and durability to structures because of its optimum particle size distribution, superior crystalline structure and balanced phase composition'"
BSUPBIRLA143,,2479,grade cement,,http://www.materialtree.com/birla-a1-43-grade-cement,Orient Cement,Birla A1 43 Grade Cement,,, Class / Grade   N/A  Thickness   No  Brand / Manufacturer   Orient Cement  Unit   Bag  Standard Code   No  Color   Grey  Shape   No  Size   50 Kgs Bag  Delivery Time (Days)   1-5 Days ', Per Bag,,,BuildSupplies',350 ,Birla A1 43 Grade Cement'
BSUPSAGARPPC,,3842,ppc cement,,http://www.materialtree.com/sagar-ppc-cement,Sagar Cement,Sagar PPC Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Sagar PPC Cement  Class / Grade   PPC Grade  Standard Code   IS 1489-1 (1991)  Color   Grey  Brand / Manufacturer   Sagar Cement ', Per Bag,,,BuildSupplies',325 ,"Sagar Cement(PPC) is the first cement company to get included in the list of consumer super brands of India. Defined by high quality cement and service excellence. Improved technology and research with updated quality becomes the trademark of Sagar Cement. Sagar PPC OPC provides high strength and durability to structures because of its optimum particle size distribution, superior crystalline structure and balanced phase composition'"
BSUPJSWPSC,,28,grade cement,,http://www.materialtree.com/jsw-psc-grade-cement,JSW Cement,JSW PSC Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   JSW PSC Cement  Class / Grade   PSC Grade  Standard Code   IS 455 (1989)  Color   Grey  Brand / Manufacturer   JSW Cement ', Per Bag,,,BuildSupplies',340 ,JSW PSC Grade is famous for the strength and quality cement.'
BSUPMAHPPC,,34,grade cement,,http://www.materialtree.com/maha-ppc-grade-cement,Maha,Maha PPC Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Maha PPC Cement  Class / Grade   PPC Grade  Standard Code   IS 1489-1 (1991)  Color   Grey  Brand / Manufacturer   Maha ', Per Bag,,,BuildSupplies',340 ,"', ', ', '"
BSUPSAGAR53,,3841,grade cement,,http://www.materialtree.com/sagar-53-grade-cement,Sagar Cement,Sagar 53 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Sagar 53 Cement  Class / Grade   53 OPC Grade  Standard Code   IS 12269 (1987)  Color   Grey  Brand / Manufacturer   Sagar Cement ', Per Bag,,,BuildSupplies',325 ,"Sagar Cement(OPC-53 Grade) is the first cement company to get included in the list of consumer super brands of India. Defined by high quality cement and service excellence. Improved technology and research with updated quality becomes the trademark of Sagar Cement. Sagar 53 Grade OPC provides high strength and durability to structures because of its optimum particle size distribution, superior crystalline structure and balanced phase composition'"
BSUPCSBRAMCO8,,152,solid blocks,,http://www.materialtree.com/8-in-ram-co-concrete-solid-blocks,Ram Co,8 In.Ram Co Concrete Solid Blocks,,, Thickness   8 Inches  Brand / Manufacturer   Ram Co  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   400 Blocks  Size   8 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',44 ,Ram Co Concrete Solid Blocks 8 In.'
BSUPBIRLA153,,2471,grade cement,,http://www.materialtree.com/birla-a1-53-grade-cement,Orient Cement,Birla A1 53 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-5 Days  Brand Name   Birla A1 53 Cement  Class / Grade   53 OPC Grade  Standard Code   IS 12269 (1987)  Color   Grey  Brand / Manufacturer   Orient Cement ', Per Bag,,,BuildSupplies',350 ,Birla A1 53 Grade Cement'
BSUPPENPSC,,2472,grade cement,,http://www.materialtree.com/penna-premium-psc-grade-cement,Penna Cements,Penna Premium PSC Grade Cement,,, Class / Grade   No  Thickness   No  Brand / Manufacturer   Penna Cements  Unit   Bag  Standard Code   No  Color   Grey  Shape   No  Size   50 Kgs Bag  Delivery Time (Days)   1-3 Days ', Per Bag,,,BuildSupplies',347 ,Penna Premium PSC Grade Cement'
BSUPDAL43,,3192,grade cement,,http://www.materialtree.com/dalmia-43-grade-cement,Dalmia Bharat,Dalmia 43 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Dalmia 43 Cement  Class / Grade   43 OPC Grade  Standard Code   IS 8112 (1989)  Color   Grey  Brand / Manufacturer   Dalmia Bharat ', Per Bag,,,BuildSupplies',360 ,Dalmia cement(OPC-43 Grade) is well-known for its quality. It becomes a unique product from the leading cement manufacturer after 1939. Years of experience and superior in quality make Dalmia cement the best cement sought after.'
BSUPNAGPPC,,37,pozzolana cement,,http://www.materialtree.com/nagarjuna-portland-pozzolana-cement,Nagarjuna Cement,Nagarjuna Portland Pozzolana Cement,,, Unit   Bag  Delivery Time (Days)   1-5 Days  Brand Name   Nagarjuna Portland Pozzolana Cement  Class / Grade   PPC Grade  Standard Code   IS 1489-1 (1991)  Color   Grey  Brand / Manufacturer   Nagarjuna Cement ', Per Bag,,,BuildSupplies',320 ,"Nagarjuna PPC grade cement offers better workability, lesser heat of hydration, smooth finish for wall plastering etc. it is useful for general construction works and can be used for constructions in aggressive conditions like marine works, mass concrete structures, wall foundations etc.'"
